x i1 i2 i3 i4 i5 i6 i7 i8
2.430000 0.000000 0.000097 0.000219 0.000353 0.000494 0.000639 0.000789 0.000942
2.440000 0.000000 0.000097 0.000219 0.000353 0.000494 0.000639 0.000789 0.000942
2.450000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000639 0.000789 0.000942
2.460000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000639 0.000789 0.000942
2.470000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000789 0.000942
2.480000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000789 0.000942
2.490000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.500000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.510000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.520000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.530000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.540000 0.000000 0.000097 0.000220 0.000353 0.000494 0.000640 0.000790 0.000943
2.550000 0.000000 0.000097 0.000220 0.000354 0.000494 0.000640 0.000790 0.000943
2.560000 0.000000 0.000097 0.000220 0.000354 0.000494 0.000640 0.000790 0.000943
2.570000 0.000000 0.000097 0.000220 0.000354 0.000494 0.000640 0.000790 0.000944
2.580000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000640 0.000790 0.000944
2.590000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.600000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.610000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.620000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.630000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.640000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000944
2.650000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000945
2.660000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000945
2.670000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000945
2.680000 0.000000 0.000097 0.000220 0.000354 0.000495 0.000641 0.000791 0.000945
