time	V(out)	V(n001)
7.288630856914495e-04	1.287875e+01	5.991559e+00
7.288727933556491e-04	1.279773e+01	5.991691e+00
7.288845859487355e-04	1.260353e+01	5.991847e+00
7.288953749638253e-04	1.224010e+01	5.991982e+00
7.289073476437786e-04	1.145179e+01	5.992113e+00
7.289188860852841e-04	1.010297e+01	5.992205e+00
7.289322092978186e-04	7.778320e+00	5.992246e+00
7.289477684545606e-04	4.474334e+00	5.992186e+00
7.289641380557664e-04	8.036653e-01	5.991992e+00
7.289800736104172e-04	-2.805323e+00	5.991665e+00
7.289972727269146e-04	-6.781764e+00	5.991157e+00
7.290168476342269e-04	-1.140193e+01	5.990427e+00
7.290207160314037e-04	-1.223187e+01	5.990258e+00
7.290254897909964e-04	-1.285750e+01	5.990034e+00
7.290315417745806e-04	-1.306526e+01	5.989747e+00
7.290348816685270e-04	-1.305497e+01	5.989590e+00
7.290391680111287e-04	-1.304982e+01	5.989390e+00
7.290443532557393e-04	-1.305336e+01	5.989150e+00
7.290498051683836e-04	-1.305257e+01	5.988898e+00
7.290607089936723e-04	-1.305308e+01	5.988397e+00
7.290778767751776e-04	-1.305290e+01	5.987609e+00
7.291116667306292e-04	-1.305298e+01	5.986061e+00
7.291448413589379e-04	-1.305293e+01	5.984541e+00
7.468779653086729e-04	-1.305319e+01	5.195076e+00
7.646110892584078e-04	-1.305344e+01	4.437954e+00
7.823442132081429e-04	-1.305368e+01	3.713175e+00
8.000773371578780e-04	-1.305391e+01	3.020738e+00
8.178104611076129e-04	-1.305414e+01	2.360643e+00
8.355435850573480e-04	-1.305435e+01	1.732891e+00
8.532767090070829e-04	-1.305455e+01	1.137481e+00
8.679251465070829e-04	-1.305471e+01	6.634164e-01
8.776907715070829e-04	-1.305482e+01	3.574235e-01
8.825735840070829e-04	-1.305487e+01	2.073650e-01
8.874563965070829e-04	-1.305492e+01	5.923168e-02
8.923392090070829e-04	-1.305497e+01	-8.700119e-02
8.972220215070829e-04	-1.305502e+01	-2.313580e-01
9.069876465070829e-04	-1.305511e+01	-5.145392e-01
9.167532715070830e-04	-1.305520e+01	-7.905010e-01
9.314017090070830e-04	-1.305534e+01	-1.191308e+00
9.530255929356541e-04	-1.305589e+01	-1.751337e+00
9.746494768642253e-04	-1.305614e+01	-2.284081e+00
9.962733607927965e-04	-1.305608e+01	-2.789541e+00
1.017897244721368e-03	-1.305571e+01	-3.267718e+00
1.039521128649939e-03	-1.305503e+01	-3.718610e+00
1.061145012578510e-03	-1.305405e+01	-4.142219e+00
1.082768896507081e-03	-1.305276e+01	-4.538543e+00
1.093232066149938e-03	-1.305220e+01	-4.723773e+00
1.103695235792795e-03	-1.304987e+01	-4.904152e+00
1.114158405435651e-03	-1.304579e+01	-5.079678e+00
1.124621575078509e-03	-1.303993e+01	-5.250353e+00
1.135084744721365e-03	-1.303232e+01	-5.416177e+00
1.145547914364222e-03	-1.302294e+01	-5.577149e+00
1.156011084007079e-03	-1.301179e+01	-5.733269e+00
1.160893896507079e-03	-1.300440e+01	-5.804644e+00
1.165776709007079e-03	-1.300106e+01	-5.875236e+00
1.167607763694579e-03	-1.299424e+01	-5.901382e+00
1.170419828814129e-03	-1.298610e+01	-5.941208e+00
1.173474806312355e-03	-1.297311e+01	-5.984154e+00
1.173665541175636e-03	-1.297122e+01	-5.986816e+00
1.173741835120949e-03	-1.297011e+01	-5.987881e+00
1.173899246272737e-03	-1.296722e+01	-5.990076e+00
1.173905677287621e-03	-1.296702e+01	-5.990166e+00
1.173918539317389e-03	-1.296646e+01	-5.990345e+00
1.173944263376926e-03	-1.296490e+01	-5.990704e+00
1.173950694391810e-03	-1.296410e+01	-5.990793e+00
1.173963556421578e-03	-1.296054e+01	-5.990973e+00
1.173976685217388e-03	-1.295260e+01	-5.991155e+00
1.173987593800236e-03	-1.293857e+01	-5.991306e+00
1.173997802996751e-03	-1.291261e+01	-5.991447e+00
1.174007549526476e-03	-1.286526e+01	-5.991581e+00
1.174017526963177e-03	-1.276903e+01	-5.991716e+00
1.174029167274197e-03	-1.254648e+01	-5.991869e+00
1.174040109884559e-03	-1.212145e+01	-5.992002e+00
1.174051995936660e-03	-1.123150e+01	-5.992127e+00
1.174063743096723e-03	-9.717320e+00	-5.992212e+00
1.174077501067445e-03	-7.183378e+00	-5.992239e+00
1.174092398725843e-03	-3.958986e+00	-5.992162e+00
1.174108459184976e-03	-3.465906e-01	-5.991952e+00
1.174124168181203e-03	3.217275e+00	-5.991612e+00
1.174142391879778e-03	7.443661e+00	-5.991052e+00
1.174161375768430e-03	1.193279e+01	-5.990329e+00
1.174162420765709e-03	1.218149e+01	-5.990284e+00
1.174164510760268e-03	1.263455e+01	-5.990186e+00
1.174166893182947e-03	1.296549e+01	-5.990073e+00
1.174169772556406e-03	1.308154e+01	-5.989935e+00
1.174172158566726e-03	1.306636e+01	-5.989822e+00
1.174175021153058e-03	1.305152e+01	-5.989687e+00
1.174178126370280e-03	1.305212e+01	-5.989542e+00
1.174182841117661e-03	1.305198e+01	-5.989323e+00
1.174192270612422e-03	1.305287e+01	-5.988887e+00
1.174210632530445e-03	1.305309e+01	-5.988043e+00
1.174234692860983e-03	1.305312e+01	-5.986939e+00
1.174263837537643e-03	1.305310e+01	-5.985604e+00
1.192451294218458e-03	1.305334e+01	-5.176528e+00
1.210638750899274e-03	1.305358e+01	-4.401340e+00
1.228826207580089e-03	1.305381e+01	-3.660040e+00
1.247013664260904e-03	1.305404e+01	-2.952629e+00
1.265201120941720e-03	1.305427e+01	-2.279105e+00
1.283388577622535e-03	1.305449e+01	-1.639469e+00
1.301576034303351e-03	1.305470e+01	-1.033721e+00
1.311341659303350e-03	1.305481e+01	-7.182846e-01
1.321107284303350e-03	1.305491e+01	-4.108903e-01
1.325990096803350e-03	1.305496e+01	-2.601446e-01
1.330872909303350e-03	1.305501e+01	-1.113328e-01
1.335755721803350e-03	1.305506e+01	3.556975e-02
1.340638534303350e-03	1.305511e+01	1.805876e-01
1.345521346803350e-03	1.305516e+01	3.237450e-01
1.355286971803349e-03	1.305526e+01	6.045735e-01
1.369935409303349e-03	1.305539e+01	1.012449e+00
1.384583846803349e-03	1.305552e+01	1.404827e+00
1.405510186089063e-03	1.305610e+01	1.936104e+00
1.426436525374777e-03	1.305633e+01	2.442207e+00
1.447362864660490e-03	1.305623e+01	2.923136e+00
1.468289203946204e-03	1.305578e+01	3.378892e+00
1.489215543231918e-03	1.305500e+01	3.809473e+00
1.510141882517632e-03	1.305389e+01	4.214881e+00
1.531068221803346e-03	1.305243e+01	4.595116e+00
1.540833846803345e-03	1.305163e+01	4.766739e+00
1.550599471803345e-03	1.304927e+01	4.934143e+00
1.560365096803345e-03	1.304534e+01	5.097326e+00
1.570130721803345e-03	1.303984e+01	5.256289e+00
1.579896346803345e-03	1.303277e+01	5.411031e+00
1.589661971803344e-03	1.302414e+01	5.561554e+00
1.599427596803344e-03	1.301393e+01	5.707856e+00
1.604310409303344e-03	1.300696e+01	5.779583e+00
1.609193221803344e-03	1.300481e+01	5.850528e+00
1.609803573365844e-03	1.300299e+01	5.859322e+00
1.611024276490844e-03	1.299792e+01	5.876806e+00
1.614206860482059e-03	1.299017e+01	5.922085e+00
1.617571139047576e-03	1.297895e+01	5.969546e+00
1.618334078500702e-03	1.297516e+01	5.980246e+00
1.618715548227264e-03	1.297213e+01	5.985576e+00
1.618906283090545e-03	1.296989e+01	5.988238e+00
1.618927867880244e-03	1.296965e+01	5.988539e+00
1.618949452669943e-03	1.296932e+01	5.988840e+00
1.618971037459642e-03	1.296892e+01	5.989141e+00
1.618992622249341e-03	1.296844e+01	5.989442e+00
1.619014207039040e-03	1.296788e+01	5.989743e+00
1.619035791828740e-03	1.296724e+01	5.990044e+00
1.619057376618439e-03	1.296653e+01	5.990345e+00
1.619066874978131e-03	1.296607e+01	5.990477e+00
1.619085871697517e-03	1.296476e+01	5.990742e+00
1.619090620877364e-03	1.296421e+01	5.990808e+00
1.619100119237056e-03	1.296120e+01	5.990940e+00
1.619119115956442e-03	1.294672e+01	5.991204e+00
1.619131684901834e-03	1.292395e+01	5.991378e+00
1.619142855351144e-03	1.288062e+01	5.991532e+00
1.619152834416660e-03	1.280264e+01	5.991668e+00
1.619163610914307e-03	1.263349e+01	5.991811e+00
1.619174996819362e-03	1.227506e+01	5.991954e+00
1.619186361086542e-03	1.157023e+01	5.992081e+00
1.619198244439571e-03	1.024707e+01	5.992181e+00
1.619211031052189e-03	8.077026e+00	5.992225e+00
1.619228088621982e-03	4.486980e+00	5.992165e+00
1.619244192718577e-03	8.862092e-01	5.991978e+00
1.619260544752938e-03	-2.815408e+00	5.991647e+00
1.619276706693336e-03	-6.549640e+00	5.991173e+00
1.619298213231494e-03	-1.162704e+01	5.990378e+00
1.619300039229148e-03	-1.204945e+01	5.990294e+00
1.619303691224456e-03	-1.271804e+01	5.990124e+00
1.619307223854317e-03	-1.303707e+01	5.989956e+00
1.619310873467359e-03	-1.307101e+01	5.989783e+00
1.619313330551992e-03	-1.305065e+01	5.989667e+00
1.619316815967346e-03	-1.305008e+01	5.989504e+00
1.619321819312079e-03	-1.305253e+01	5.989272e+00
1.619327115779414e-03	-1.305191e+01	5.989027e+00
1.619337708714083e-03	-1.305270e+01	5.988539e+00
1.619357557000733e-03	-1.305275e+01	5.987628e+00
1.619386879158500e-03	-1.305280e+01	5.986284e+00
1.619420681612051e-03	-1.305277e+01	5.984735e+00
1.637200019559467e-03	-1.305303e+01	5.193278e+00
1.654979357506883e-03	-1.305328e+01	4.434318e+00
1.672758695454299e-03	-1.305352e+01	3.707856e+00
1.690538033401715e-03	-1.305375e+01	3.013893e+00
1.708317371349131e-03	-1.305398e+01	2.352428e+00
1.726096709296547e-03	-1.305419e+01	1.723461e+00
1.743876047243963e-03	-1.305439e+01	1.126992e+00
1.753641672243963e-03	-1.305450e+01	8.091841e-01
1.763407297243962e-03	-1.305461e+01	4.994785e-01
