time	Vout
1.353588884064385e-02	4.216178e+00
1.358192678707243e-02	4.203446e+00
1.362796473350100e-02	4.187195e+00
1.367400267992957e-02	4.167424e+00
1.372004062635814e-02	4.144135e+00
1.382467232278671e-02	4.077228e+00
1.392930401921528e-02	3.993818e+00
1.403393571564384e-02	3.893904e+00
1.413856741207241e-02	3.777487e+00
1.424319910850098e-02	3.644566e+00
1.434783080492955e-02	3.495141e+00
1.445246250135812e-02	3.329213e+00
1.451942678707241e-02	3.215722e+00
1.458639107278669e-02	3.097091e+00
1.465335535850097e-02	2.973320e+00
1.472031964421526e-02	2.844408e+00
1.478728392992954e-02	2.710357e+00
1.485424821564383e-02	2.571166e+00
1.492121250135811e-02	2.426834e+00
1.495469464421525e-02	2.353248e+00
1.498817678707240e-02	2.278704e+00
1.502165892992954e-02	2.203203e+00
1.505514107278668e-02	2.126744e+00
1.508862321564382e-02	2.049327e+00
1.512210535850096e-02	1.970953e+00
1.515558750135811e-02	1.891620e+00
1.523929285850096e-02	1.688451e+00
1.532299821564382e-02	1.482066e+00
1.540670357278667e-02	1.272465e+00
1.549040892992953e-02	1.059647e+00
1.557411428707239e-02	8.436134e-01
1.565781964421524e-02	6.243636e-01
1.574152500135810e-02	4.018977e-01
1.588800937635811e-02	1.287826e-02
1.592986205492954e-02	-9.862621e-02
1.597171473350097e-02	-2.098707e-01
1.601356741207240e-02	-3.208552e-01
1.605542009064383e-02	-4.315798e-01
1.609727276921526e-02	-5.420443e-01
1.613912544778669e-02	-6.522489e-01
1.618097812635812e-02	-7.621936e-01
1.628142455492955e-02	-1.025776e+00
1.638187098350098e-02	-1.282793e+00
1.648231741207241e-02	-1.533245e+00
1.658276384064385e-02	-1.777130e+00
1.668321026921528e-02	-2.014450e+00
1.678365669778671e-02	-2.245205e+00
1.688410312635814e-02	-2.469393e+00
1.700966116207243e-02	-2.736049e+00
1.713521919778672e-02	-2.982234e+00
1.726077723350102e-02	-3.207947e+00
1.738633526921531e-02	-3.413189e+00
1.751189330492960e-02	-3.597960e+00
1.763745134064389e-02	-3.762260e+00
1.776300937635818e-02	-3.906088e+00
1.783834419778675e-02	-3.979207e+00
1.791367901921533e-02	-4.043115e+00
1.798901384064390e-02	-4.097813e+00
1.806434866207247e-02	-4.143300e+00
1.813968348350105e-02	-4.179576e+00
1.821501830492962e-02	-4.206642e+00
1.829035312635820e-02	-4.224497e+00
1.832383526921534e-02	-4.229293e+00
1.835731741207249e-02	-4.232217e+00
1.839079955492963e-02	-4.233268e+00
1.842428169778677e-02	-4.232447e+00
1.845776384064392e-02	-4.229753e+00
1.849124598350106e-02	-4.225187e+00
1.852472812635821e-02	-4.218748e+00
1.860424821564392e-02	-4.195678e+00
1.868376830492964e-02	-4.162418e+00
1.876328839421536e-02	-4.118970e+00
1.884280848350108e-02	-4.065332e+00
1.892232857278679e-02	-4.001505e+00
1.900184866207251e-02	-3.927489e+00
1.908136875135823e-02	-3.843284e+00
1.917762991207252e-02	-3.727628e+00
1.927389107278681e-02	-3.599645e+00
1.937015223350110e-02	-3.459332e+00
1.946641339421538e-02	-3.306691e+00
1.956267455492967e-02	-3.141722e+00
1.965893571564396e-02	-2.964424e+00
1.975519687635825e-02	-2.774797e+00
1.978867901921540e-02	-2.706852e+00
1.982216116207254e-02	-2.637787e+00
1.985564330492968e-02	-2.567602e+00
1.988912544778683e-02	-2.496296e+00
1.992260759064397e-02	-2.423871e+00
1.995608973350112e-02	-2.350326e+00
1.998957187635826e-02	-2.275660e+00
2.002723928707255e-02	-2.190426e+00
2.006490669778684e-02	-2.104087e+00
2.010257410850112e-02	-2.016644e+00
2.014024151921541e-02	-1.928097e+00
2.017790892992970e-02	-1.838445e+00
2.021557634064398e-02	-1.747690e+00
2.025324375135827e-02	-1.655830e+00
2.032857857278685e-02	-1.468547e+00
2.040391339421542e-02	-1.279049e+00
2.047924821564399e-02	-1.087338e+00
2.055458303707257e-02	-8.934133e-01
2.062991785850114e-02	-6.972746e-01
2.070525267992972e-02	-4.989221e-01
2.078058750135829e-02	-2.983558e-01
2.081406964421544e-02	-2.093621e-01
2.084755178707258e-02	-1.203741e-01
2.088103392992972e-02	-3.139190e-02
2.091451607278687e-02	5.758448e-02
2.094799821564401e-02	1.465551e-01
2.098148035850116e-02	2.355199e-01
2.101496250135830e-02	3.244789e-01
2.109448259064402e-02	5.361579e-01
2.117400267992973e-02	7.452137e-01
2.125352276921545e-02	9.516461e-01
2.133304285850117e-02	1.155455e+00
2.141256294778689e-02	1.356641e+00
2.149208303707260e-02	1.555204e+00
2.157160312635832e-02	1.751143e+00
2.170553169778690e-02	2.073749e+00
2.183946026921547e-02	2.376729e+00
2.197338884064405e-02	2.660084e+00
2.210731741207263e-02	2.923813e+00
2.224124598350120e-02	3.167916e+00
2.237517455492978e-02	3.392394e+00
2.250910312635836e-02	3.597246e+00
2.260117901921550e-02	3.721021e+00
2.269325491207265e-02	3.831552e+00
2.278533080492980e-02	3.928839e+00
2.287740669778694e-02	4.012882e+00
2.296948259064409e-02	4.083680e+00
2.306155848350123e-02	4.141235e+00
2.315363437635838e-02	4.185545e+00
2.318711651921553e-02	4.197962e+00
2.322059866207267e-02	4.208511e+00
2.325408080492981e-02	4.217194e+00
2.328756294778696e-02	4.224009e+00
2.332104509064410e-02	4.228957e+00
2.335452723350125e-02	4.232039e+00
2.338800937635839e-02	4.233253e+00
2.342986205492982e-02	4.232113e+00
2.347171473350125e-02	4.228060e+00
2.351356741207268e-02	4.221093e+00
2.355542009064411e-02	4.211213e+00
2.359727276921554e-02	4.198419e+00
2.363912544778697e-02	4.182712e+00
2.368097812635840e-02	4.164092e+00
2.378142455492983e-02	4.106762e+00
2.388187098350127e-02	4.033986e+00
2.398231741207270e-02	3.945764e+00
2.408276384064413e-02	3.842095e+00
2.418321026921556e-02	3.722981e+00
2.428365669778700e-02	3.588421e+00
2.438410312635843e-02	3.438414e+00
2.445943794778700e-02	3.316942e+00
2.453477276921558e-02	3.188802e+00
2.461010759064415e-02	3.053993e+00
2.468544241207273e-02	2.912515e+00
2.476077723350130e-02	2.764369e+00
2.483611205492987e-02	2.609554e+00
2.491144687635845e-02	2.448071e+00
2.499933750135845e-02	2.253715e+00
2.504537544778702e-02	2.148901e+00
2.509141339421560e-02	2.042516e+00
2.513745134064417e-02	1.934559e+00
2.518348928707274e-02	1.825030e+00
2.522952723350132e-02	1.713930e+00
2.527556517992989e-02	1.601259e+00
2.532160312635846e-02	1.487015e+00
2.539275267992989e-02	1.307481e+00
2.546390223350133e-02	1.126250e+00
2.553505178707276e-02	9.433212e-01
2.560620134064419e-02	7.586954e-01
2.567735089421562e-02	5.723723e-01
2.574850044778705e-02	3.843521e-01
2.581965000135848e-02	1.946346e-01
2.585313214421563e-02	1.055365e-01
2.588661428707277e-02	1.649020e-02
2.592009642992991e-02	-7.250439e-02
2.595357857278706e-02	-1.614472e-01
2.598706071564420e-02	-2.503383e-01
2.602054285850135e-02	-3.391776e-01
2.605402500135849e-02	-4.279652e-01
2.613773035850135e-02	-6.502577e-01
2.622143571564421e-02	-8.692646e-01
2.630514107278707e-02	-1.084986e+00
2.638884642992993e-02	-1.297422e+00
2.647255178707279e-02	-1.506572e+00
2.655625714421565e-02	-1.712437e+00
2.663996250135851e-02	-1.915017e+00
2.677807634064423e-02	-2.240126e+00
2.691619017992995e-02	-2.543166e+00
2.705430401921567e-02	-2.824137e+00
2.719241785850139e-02	-3.083038e+00
2.733053169778711e-02	-3.319870e+00
2.746864553707283e-02	-3.534632e+00
2.760675937635855e-02	-3.727325e+00
2.769465000135855e-02	-3.832983e+00
2.778254062635856e-02	-3.926354e+00
2.787043125135856e-02	-4.007437e+00
2.795832187635856e-02	-4.076234e+00
2.804621250135857e-02	-4.132744e+00
2.813410312635857e-02	-4.176967e+00
2.822199375135857e-02	-4.208902e+00
2.839777500135858e-02	-4.233253e+00
2.844381294778715e-02	-4.231079e+00
2.848985089421573e-02	-4.225387e+00
2.853588884064430e-02	-4.216175e+00
2.858192678707287e-02	-4.203443e+00
2.862796473350145e-02	-4.187192e+00
2.867400267993002e-02	-4.167422e+00
2.872004062635859e-02	-4.144132e+00
2.882467232278717e-02	-4.077226e+00
2.892930401921574e-02	-3.993816e+00
2.903393571564432e-02	-3.893902e+00
2.913856741207289e-02	-3.777485e+00
2.924319910850147e-02	-3.644564e+00
2.934783080493004e-02	-3.495140e+00
2.945246250135862e-02	-3.329212e+00
2.948175937635862e-02	-3.280519e+00
2.954453839421577e-02	-3.171987e+00
2.960731741207291e-02	-3.058982e+00
2.967009642993006e-02	-2.941501e+00
2.973287544778720e-02	-2.819546e+00
2.979565446564435e-02	-2.693117e+00
2.985843348350149e-02	-2.562212e+00
2.992121250135864e-02	-2.426834e+00
2.997980625135864e-02	-2.297580e+00
3.000000000000000e-02	-2.252413e+00
