time	IC1
1.832383526921534e-02	-1.152464e-04
1.835731741207249e-02	-5.931967e-05
1.839079955492963e-02	-3.403830e-06
1.842428169778677e-02	5.250115e-05
1.845776384064392e-02	1.083953e-04
1.849124598350106e-02	1.642785e-04
1.852472812635821e-02	2.201509e-04
1.860424821564392e-02	3.530701e-04
1.868376830492964e-02	4.843016e-04
1.876328839421536e-02	6.138456e-04
1.884280848350108e-02	7.417019e-04
1.892232857278679e-02	8.678706e-04
1.900184866207251e-02	9.923518e-04
1.908136875135823e-02	1.115145e-03
1.917762991207252e-02	1.260272e-03
1.927389107278681e-02	1.399578e-03
1.937015223350110e-02	1.533066e-03
1.946641339421538e-02	1.660733e-03
1.956267455492967e-02	1.782582e-03
1.965893571564396e-02	1.898610e-03
1.975519687635825e-02	2.008819e-03
1.978867901921540e-02	2.045089e-03
1.982216116207254e-02	2.080415e-03
1.985564330492968e-02	2.114798e-03
1.988912544778683e-02	2.148239e-03
1.992260759064397e-02	2.180736e-03
1.995608973350112e-02	2.212291e-03
1.998957187635826e-02	2.242902e-03
2.002723928707255e-02	2.276154e-03
2.006490669778684e-02	2.308089e-03
2.010257410850112e-02	2.338705e-03
2.014024151921541e-02	2.368005e-03
2.017790892992970e-02	2.395987e-03
2.021557634064398e-02	2.422652e-03
2.025324375135827e-02	2.447999e-03
2.032857857278685e-02	2.494665e-03
2.040391339421542e-02	2.535553e-03
2.047924821564399e-02	2.570661e-03
2.055458303707257e-02	2.599990e-03
2.062991785850114e-02	2.623541e-03
2.070525267992972e-02	2.641312e-03
2.078058750135829e-02	2.653304e-03
2.081406964421544e-02	2.656661e-03
2.084755178707258e-02	2.658841e-03
2.088103392992972e-02	2.659845e-03
2.091451607278687e-02	2.659672e-03
2.094799821564401e-02	2.658322e-03
2.098148035850116e-02	2.655796e-03
2.101496250135830e-02	2.652094e-03
2.109448259064402e-02	2.638413e-03
2.117400267992973e-02	2.618321e-03
2.125352276921545e-02	2.591816e-03
2.133304285850117e-02	2.558898e-03
2.141256294778689e-02	2.519568e-03
2.149208303707260e-02	2.473826e-03
2.157160312635832e-02	2.421672e-03
2.170553169778690e-02	2.318135e-03
2.183946026921547e-02	2.200566e-03
2.197338884064405e-02	2.068966e-03
2.210731741207263e-02	1.923334e-03
2.224124598350120e-02	1.763670e-03
2.237517455492978e-02	1.589975e-03
2.250910312635836e-02	1.402248e-03
2.260117901921550e-02	1.268018e-03
2.269325491207265e-02	1.130724e-03
2.278533080492980e-02	9.903661e-04
2.287740669778694e-02	8.469440e-04
2.296948259064409e-02	7.004578e-04
2.306155848350123e-02	5.509076e-04
2.315363437635838e-02	3.982934e-04
2.318711651921553e-02	3.428207e-04
2.322059866207267e-02	2.872579e-04
2.325408080492981e-02	2.316049e-04
2.328756294778696e-02	1.758618e-04
2.332104509064410e-02	1.200286e-04
2.335452723350125e-02	6.410519e-05
2.338800937635839e-02	8.091700e-06
2.342986205492982e-02	-6.197059e-05
2.347171473350125e-02	-1.318695e-04
2.351356741207268e-02	-2.016051e-04
2.355542009064411e-02	-2.711774e-04
2.359727276921554e-02	-3.405863e-04
2.363912544778697e-02	-4.098318e-04
2.368097812635840e-02	-4.789140e-04
2.378142455492983e-02	-6.445325e-04
2.388187098350127e-02	-8.060256e-04
2.398231741207270e-02	-9.633933e-04
2.408276384064413e-02	-1.116635e-03
2.418321026921556e-02	-1.265752e-03
2.428365669778700e-02	-1.410744e-03
2.438410312635843e-02	-1.551609e-03
2.445943794778700e-02	-1.652605e-03
2.453477276921558e-02	-1.749384e-03
2.461010759064415e-02	-1.841948e-03
2.468544241207273e-02	-1.930295e-03
2.476077723350130e-02	-2.014426e-03
2.483611205492987e-02	-2.094341e-03
2.491144687635845e-02	-2.170040e-03
2.499933750135845e-02	-2.251634e-03
2.504537544778702e-02	-2.291722e-03
2.509141339421560e-02	-2.329818e-03
2.513745134064417e-02	-2.365922e-03
2.518348928707274e-02	-2.400033e-03
2.522952723350132e-02	-2.432153e-03
2.527556517992989e-02	-2.462280e-03
2.532160312635846e-02	-2.490415e-03
2.539275267992989e-02	-2.529813e-03
2.546390223350133e-02	-2.564016e-03
2.553505178707276e-02	-2.593025e-03
2.560620134064419e-02	-2.616838e-03
2.567735089421562e-02	-2.635455e-03
2.574850044778705e-02	-2.648878e-03
2.581965000135848e-02	-2.657106e-03
2.585313214421563e-02	-2.659089e-03
2.588661428707277e-02	-2.659897e-03
